,id,T,formula,database,zT_pred,zT_std
3742,411239,1000,As4Br7Hg6Ti,ICSD,1.61202,0.487051
11598,36007,1000,Br9O4Pb8Tl,ICSD,1.60831,0.574704
80177,237508,1000,PbSe4Tl2Zr,ICSD,1.60054,0.494027
4807,1510482,1000,Au3Ca2In4,COD,1.58786,0.578386
11595,418796,1000,Br9Nb2S4Tl5,ICSD,1.58485,0.629056
80087,251136,1000,Pb2Se25Ti7Tl18,ICSD,1.57923,0.48668
5335,4000517,1000,AuPSe3Tl,COD,1.57592,0.508524
1010,1509539,1000,AgSeTl,COD,1.57591,0.472085
72904,25304,1000,I6Pb5S2,ICSD,1.57517,0.502566
538,412371,1000,AgBi2ClSe3,ICSD,1.57371,0.539059
64169,152521,1000,CuPbSe3Yb,ICSD,1.57308,0.593634
10441,9008043,1000,Bi2STe2,COD,1.56688,0.539127
4848,4304502,1000,Au3KSn3,COD,1.56278,0.577177
63844,154669,1000,CuHoPbSe3,ICSD,1.56196,0.584441
81522,4324132,1000,Se4Tl4Zr,COD,1.56032,0.470748
11428,237339,1000,Br5Hg6S4Tl,ICSD,1.55991,0.572263
63531,152517,1000,CuDyPbSe3,ICSD,1.55768,0.587885
63548,152519,1000,CuErPbSe3,ICSD,1.55733,0.581556
64168,152520,1000,CuPbSe3Tm,ICSD,1.55725,0.58163
80029,600787,1000,PSe4Tl3,ICSD,1.55716,0.444665
64167,152516,1000,CuPbSe3Tb,ICSD,1.55493,0.594259
4696,370004,1000,Au2Ga2Sr,ICSD,1.55315,0.629203
63824,82563,1000,CuHfSe3Tl,ICSD,1.55151,0.558978
72807,418344,1000,I3Pb2S2Sb,ICSD,1.55138,0.56082
10277,2204243,1000,Bi2Cs2Se5Zn,COD,1.55053,0.611238
10310,4313218,1000,Bi2GaLa,COD,1.54839,0.574858
11037,35381,1000,Br10O4Pb9,ICSD,1.54812,0.553039
81519,36370,1000,Se4TiTl4,ICSD,1.54775,0.463975
3743,413988,1000,As4Br7Hg6Yb,ICSD,1.54704,0.500607
63401,424884,1000,Cu5Lu3Se8Tl2,ICSD,1.54689,0.600588
3741,411481,1000,As4Br7CrHg6,ICSD,1.54512,0.49982
3161,415410,1000,As2Br3CuHg3,ICSD,1.54469,0.484861
64249,262810,1000,CuSe3ThTl,ICSD,1.54449,0.58174
5103,611768,1000,AuCuSn,ICSD,1.54138,0.462996
10671,411218,1000,BiBr7Hg6Sb4,ICSD,1.53882,0.47019
80359,79601,1000,PdSe2Tl2,ICSD,1.53823,0.472436
3739,417039,1000,As4Br6CdHg6,ICSD,1.53683,0.471586
11401,40521,1000,Br4STl6,ICSD,1.53592,0.438699
10427,604338,1000,Bi2Pd2Sr,ICSD,1.5332,0.622559
77838,600249,1000,NbSe4Tl3,ICSD,1.53153,0.531905
72017,251139,1000,Hf7Pb2Se25Tl18,ICSD,1.52996,0.517682
10185,410739,1000,Bi14I12RhSi2,ICSD,1.52926,0.398872
72860,4001792,1000,I4STl6,COD,1.52805,0.415299
10999,617014,1000,BiRhSe,ICSD,1.52692,0.48154
9308,50160,1000,BaGa2Pt2,ICSD,1.52599,0.627399
5019,1510060,1000,AuCaIn2,COD,1.52585,0.572032
4617,4336566,1000,Au10Ga16Na5,COD,1.52486,0.565832
72093,237510,1000,HfPbSe4Tl2,ICSD,1.52259,0.513517
72366,247763,1000,HgSe4SiTl2,ICSD,1.52161,0.466548
72284,413308,1000,HgK2Se4Sn,ICSD,1.521,0.644165
80028,62697,1000,PSe3Tl2,ICSD,1.51946,0.492629
8945,58638,1000,BaBi2Zn,ICSD,1.519,0.597964
64728,630271,1000,DySe2Tl,ICSD,1.51894,0.624673
11492,411860,1000,Br6Hg7P4Sn,ICSD,1.5186,0.566605
80075,648365,1000,Pb2Pd3Se2,ICSD,1.51803,0.456891
4896,4339089,1000,Au4In6K,COD,1.5178,0.501679
55622,410772,1000,Ca2Pt3Sn5,ICSD,1.51753,0.536262
11434,250266,1000,Br5KPb2,ICSD,1.51726,0.562076
63974,152522,1000,CuLuPbSe3,ICSD,1.51703,0.611579
64158,4000521,1000,CuPSe3Tl,COD,1.51694,0.505675
10445,41924,1000,Bi2SrZn,ICSD,1.51664,0.595704
10535,410929,1000,Bi4Br7O2Ta2,ICSD,1.51619,0.627887
11610,185392,1000,BrCdHgS,ICSD,1.51574,0.606187
5305,1510244,1000,AuNaSe2,COD,1.51527,0.622015
7895,1511327,1000,BSe3Tl3,COD,1.51446,0.541717
80265,648843,1000,Pd3Se2Tl2,ICSD,1.51342,0.453098
72159,427211,1000,Hg2In2Sr,ICSD,1.512,0.603011
72657,106992,1000,HoSe2Tl,ICSD,1.50951,0.619938
8449,89912,1000,Ba3Bi6PbSe13,ICSD,1.50929,0.53094
11490,412467,1000,Br6Hg3Se2Zr,ICSD,1.50912,0.461168
81452,418475,1000,ScSe2Tl,ICSD,1.508,0.621858
